@hz66,twitter.com/hz66,"En el debate a nadie le molesta  la música de fondo cuando habla la gente ? No entiendo que pongan música más alta que la propia voz de los participantes. Cuando ponen videos nuevos, más de lo mismo. La música a más volumen que la voz#elConquis5ETB",twitter.com/hz66/status/1892701094419034263#m
@charlisin46yout,twitter.com/charlisin46yout,"#ElConquis5ETBEl voto es libre ???????

Puessss dejar killo vote quien le sale del raboooooo",twitter.com/charlisin46yout/status/1892458370562494832#m
@charlisin46yout,twitter.com/charlisin46yout,#ElConquis5ETBAsumirlooooo 14 campeones 3 campeonas lo vais a asumir ya ????????,twitter.com/charlisin46yout/status/1892458029355807074#m
@charlisin46yout,twitter.com/charlisin46yout,"#ElConquis5ETBVengaaaa que vosotras tambien votais a tios antes mira marcelaaaa con ariiiiiii.

Para que les pinten la cara a los tios no se qu3jan de quedar de debilesssss ehhh.",twitter.com/charlisin46yout/status/1892457756881277282#m
@charlisin46yout,twitter.com/charlisin46yout,"#ElConquis5ETBAmi me hace una gracias las ofendiditasssssssss !!!!!

A que pava le pintan la cara ?????????

No te jodeeeeeeeeee que listassss.a avanzar sin pegar palo que se duelen solo tios si ya una polla para vosotrasssss.",twitter.com/charlisin46yout/status/1892457541688320293#m
@charlisin46yout,twitter.com/charlisin46yout,"#ElConquis5ETBAqui ganan los duelos los tios y se habla de las tias fuertes !!!!

Pedis igualdad sin darla 🤷‍♂️🤷‍♂️🤷‍♂️

Ni pati ni ratxel se van a comer nadaaaaaaaaa.",twitter.com/charlisin46yout/status/1892455764037345768#m
@charlisin46yout,twitter.com/charlisin46yout,"#ElConquis5ETBQue se cree la ratxel estaaaaq ??????

Que as quedado segunda en el du3lo y por que allen las lio sino....

Estas en casa flipadaaaaa !!!!!",twitter.com/charlisin46yout/status/1892455198171287969#m
@charlisin46yout,twitter.com/charlisin46yout,"#ElConquis5ETBYaas valeeee !!!! Cuando gano arazt todo protagonismo para patiiii.

Gana ikerrrr y todo con ratxel.

Cansaisssssss ya con el victimismo y no valorar los duelazos de los chicos !!!!!!",twitter.com/charlisin46yout/status/1892448615366340892#m
@sconqfan,twitter.com/sconqfan,"Jajajajajaa buenas famili conquis, no me creo que me perdiera un debate pero me pongo al corriente ahora#ElConquis5ETB",twitter.com/sconqfan/status/1892440111075266935#m
@anezarandona,twitter.com/anezarandona,"Conquistadores!
Gotzon Mantuliz en el desafío#Conquis5ETB#ElDesafío",twitter.com/anezarandona/status/1893064963297628357#m
@alberichspielt1,twitter.com/alberichspielt1,"gabon!

fantástico lo del surströmming

sugiero, de aquí a noviembre, un visionado de los programas aquellos de humor amarillo para documentarse con más maldades... 😁👍#elConquis5ETB#ElConquisETB#ElConquis#Conquis5ETB",twitter.com/alberichspielt1/status/1892372547171152320#m
@SspAarrOw,twitter.com/SspAarrOw,"Mi ranking de participantes:
🔵COROCOTE🔵
1. Isra
2. Leyre
3. Chivite
4. Koty
5. Carra
6. Ainhoa
7. Reblán
8. Elazar
9. Jime
10. Raquel#conquis5ETB#elconquis5ETB",twitter.com/SspAarrOw/status/1892356740194140596#m
@SspAarrOw,twitter.com/SspAarrOw,"Mi ranking de participantes:
🟡GUABAN🟡
1. Aratz
2. Santa
3. Maider
4. Iradi
5. Ekhi
6. Pati
7. Jontxu
8. Filete
9. Lorea
10. Hippie#conquis5ETB#elconquis5ETB",twitter.com/SspAarrOw/status/1892356738445197314#m
@SspAarrOw,twitter.com/SspAarrOw,"Mi ranking de participantes:
🔴YOCAHU🔴
1. Nahikarita
2. Sebas
3. Alex
4. Famo
5. Saioa
6. Xego
7. La Ratxel
8. Marcela
9. Ari
10. Unai
11. Killo#conquis5ETB#elconquis5ETB",twitter.com/SspAarrOw/status/1892356736792531187#m
@HaterdeEneko,twitter.com/HaterdeEneko,"Quillo, paaa casaaa#Conquis5ETB",twitter.com/HaterdeEneko/status/1892351451365576878#m
@HaterdeEneko,twitter.com/HaterdeEneko,Jokin de apellido cagon#Conquis5ETB,twitter.com/HaterdeEneko/status/1892349119458341262#m
@patri_cule,twitter.com/patri_cule,#Conquis5ETBdespués de poner 20 veces el mismo tweet ahora no pone ninguno por favor volver@isma_conquis,twitter.com/patri_cule/status/1892348027555234276#m
@HaterdeEneko,twitter.com/HaterdeEneko,"Quillota, a la calle#Conquis5ETB",twitter.com/HaterdeEneko/status/1892346567144686015#m
@guaito66,twitter.com/guaito66,"#Conquis5ETBEs una pena que Allen se haya ido. Me ha sorprendido muy gratamente, era el que aportaba tranquilidad y buen rollito en ese grupo, que es un polvorín. Aúpa Allen",twitter.com/guaito66/status/1892345156940042664#m
@patri_cule,twitter.com/patri_cule,#Conquis5ETBvolver a poner el mismo tweet que todavía no me he enterado bien,twitter.com/patri_cule/status/1892342753310175426#m
@Ms_Ocho,twitter.com/Ms_Ocho,Una pena que se vaya Allen... estaba ganando muchos puntos. Los 3 lo han luchado como unos titanes#Conquis5ETB,twitter.com/Ms_Ocho/status/1892341494360510508#m
@emmasinemme,twitter.com/emmasinemme,Allen a ser txungos lo llama tener personalidad#Conquis5ETB,twitter.com/emmasinemme/status/1892340985864053219#m
@Ninamer6,twitter.com/Ninamer6,Allen no habrás ganado el duelo pero te llevas el cariño de toda esta gente#Conquis5ETB,twitter.com/Ninamer6/status/1892246092126867881#m
@elconquis_etb,twitter.com/elconquis_etb,"🎬El Making Of 5🎥
💪¡Gran equipo!#conquis5etb#elconquis5etbinstagram.com/reel/DGQcCOMMh…",twitter.com/elconquis_etb/status/1892216760222257192#m
@elconquis_etb,twitter.com/elconquis_etb,Esta fue la primera ducha de@Reyallenkingtras salir de la aventura 🫧#Conquis5ETBinstagram.com/reel/DGP6O9NMm…,twitter.com/elconquis_etb/status/1892178207597576634#m
@pitufloris,twitter.com/pitufloris,"Conclusiones del capítulo: Allen me ha caído mejor de lo que me pensaba, no merecía salir tan pronto teniendo a gente horrible como Killo, el ansias etc….Killo, te has coronado,otro al q le hago la cruz. Contenta con los capis, incluso con Joana, demostró en su día.#Conquis5ETB",twitter.com/pitufloris/status/1892007471100604840#m
@Lucy_Gifer,twitter.com/Lucy_Gifer,"Una pena la expulsión de Allen siendo de los pocos majos de los azules, pero Famo es un titán y Ratxel espero que cierre bocas sobre todo la de Killo#Conquis5ETB",twitter.com/Lucy_Gifer/status/1892002931999666490#m
@ekaiitzz1,twitter.com/ekaiitzz1,el nuevo txoskin 🤣#Conquis5ETB,twitter.com/ekaiitzz1/status/1891995588360626613#m
@Lucy_Gifer,twitter.com/Lucy_Gifer,Joana todo indignada con Killo en la asamblea (con razón por partida doble) Y NO LE NOMINA#Conquis5ETB,twitter.com/Lucy_Gifer/status/1891985912982131059#m
@KontxiZulu81651,twitter.com/KontxiZulu81651,#Conquis4ETB.... ¿Pero Julián no crees en la amistad?????,twitter.com/KontxiZulu81651/status/1892346492611940660#m
@KontxiZulu81651,twitter.com/KontxiZulu81651,#Conquis4ETBMira como t hecha en falta Txibite!!!!!,twitter.com/KontxiZulu81651/status/1892346202307305607#m
@AritzRedin87,twitter.com/AritzRedin87,"#conquis4ETBGabón, ya estamos por aquí, se presenta 
PRO GRA MA ZO!!",twitter.com/AritzRedin87/status/1891602236960071795#m
@anezarandona,twitter.com/anezarandona,"@SURCARPINIANOSi no empezase a las tantas y terminase de madrugada...
Y si no hubiese mil anuncios... 
Una vergüenza en una tv pública#conquis4ETB@euskaltelebistaelcorreo.com/culturas/tv/el-…",twitter.com/anezarandona/status/1890808374377218300#m
@pittusxa,twitter.com/pittusxa,"Soy la única a la k nunca le ha gustado Marcela? 
Además, me parece k va a ser la protegida de la capitana.#conquis4ETB#elconquis4ETB",twitter.com/pittusxa/status/1890749310133821528#m
@kamizvlog,twitter.com/kamizvlog,La convivencia pasando factura Mi Marce soportalooo por favor los dos son mis favoritos 🥺 sean amiwis plis 🤞🤞🤞#conquis4etb,twitter.com/kamizvlog/status/1889833014471041223#m
@KontxiZulu81651,twitter.com/KontxiZulu81651,"#Conquis4ETBQ, maja la hija d Pipi!!!",twitter.com/KontxiZulu81651/status/1889826518119096504#m
@KontxiZulu81651,twitter.com/KontxiZulu81651,"#Conquis4ETBM parece q, va a ser una prueba d INFARTO!!!!!",twitter.com/KontxiZulu81651/status/1889824966193062115#m
@KontxiZulu81651,twitter.com/KontxiZulu81651,#Conquis4ETB¿Laberinto o barro???,twitter.com/KontxiZulu81651/status/1889824021916819942#m
@KontxiZulu81651,twitter.com/KontxiZulu81651,#Conquis4ETBJime pues esas tortitas tienen buena pinta!!!!!!,twitter.com/KontxiZulu81651/status/1889823459800391804#m
@AmayaAmaia,twitter.com/AmayaAmaia,Que pesado Jime!!!#conquis4ETB,twitter.com/AmayaAmaia/status/1889822749021094155#m
@AmayaAmaia,twitter.com/AmayaAmaia,Eso es aprovechar lo que les ofrece el Mar#conquis4ETB,twitter.com/AmayaAmaia/status/1889822323081093173#m
@geta_gay,twitter.com/geta_gay,"#Conquis4ETBA alguna se le ha visto la ""chirla""",twitter.com/geta_gay/status/1889822003726786945#m
@KontxiZulu81651,twitter.com/KontxiZulu81651,#Conquis4ETBLuisito FLIPA!!!!,twitter.com/KontxiZulu81651/status/1889820032596844963#m
@KontxiZulu81651,twitter.com/KontxiZulu81651,#Conquis4ETBLa semana q viene¿laberinto? O embarrados!!!!!nunca vi tanto barro!!!,twitter.com/KontxiZulu81651/status/1889819923570188740#m
@KontxiZulu81651,twitter.com/KontxiZulu81651,"#Conquis4ETBEL killo q majo q, irrintxi s hechó el otro día!!!!!!",twitter.com/KontxiZulu81651/status/1889819490285920413#m
@pittusxa,twitter.com/pittusxa,"Mis favoritos de momento:
🔴Nahikarita
🔴Sebas
🔵Chivite
🔵Isra
🟡Aratz
🟡Santa#conquis4etb#elconquis4etb",twitter.com/pittusxa/status/1889818981730767166#m
@AmayaAmaia,twitter.com/AmayaAmaia,Quién es ese camuflado???#conquis4ETB,twitter.com/AmayaAmaia/status/1889817208945254845#m
@KontxiZulu81651,twitter.com/KontxiZulu81651,#Conquis4ETBPutxo tu si q irritas!!!,twitter.com/KontxiZulu81651/status/1889816057411772574#m
@KontxiZulu81651,twitter.com/KontxiZulu81651,#Conquis4ETBMarcela esa palabra es muy fea!!!,twitter.com/KontxiZulu81651/status/1889815903497572762#m
@rascameelojo,twitter.com/rascameelojo,Allen me ha encantado! ha dado muchísimo juego. Que pena que se haya ido#elconquis4etb,twitter.com/rascameelojo/status/1892341445593366648#m
@LeandroGao27,twitter.com/LeandroGao27,"Me estoy poniendo al día, pero no entiendo al equipo#guabanesY sigue siendo mis favoritos.#elconquis4ETB",twitter.com/LeandroGao27/status/1891157673975922707#m
@kamizvlog,twitter.com/kamizvlog,Jaja ya le he dicho que así la banco. Lo que necesita es la prueba para sacar todo su Ki 💪🔥🌋 es que tiene mucho fuego mi niña perdonen udes#elconquis4etb,twitter.com/kamizvlog/status/1891072369071899101#m
@pittusxa,twitter.com/pittusxa,"Soy la única a la k nunca le ha gustado Marcela? 
Además, me parece k va a ser la protegida de la capitana.#conquis4ETB#elconquis4ETB",twitter.com/pittusxa/status/1890749310133821528#m
@belenleibar,twitter.com/belenleibar,Los debates ya no tienen la salsa d antes#ElConquis4ETB,twitter.com/belenleibar/status/1890671272243192249#m
@belenleibar,twitter.com/belenleibar,Decirle a Enepe q deje d utilizar el  Guau!!.#ElConquis4ETB,twitter.com/belenleibar/status/1890670508514980263#m
@JohanssonSueko,twitter.com/JohanssonSueko,"Chivite y Allen en la barra de la ""disco"" de ligoteo lo mejor de la semana. Muy fan de ambos🤘🏼#elconquis4ETB",twitter.com/JohanssonSueko/status/1890161991446417895#m
@Nuksi_kun,twitter.com/Nuksi_kun,"Pero que malo es Julian en el debate no? Que forzado todo. Va a toda prisa, cambia de tema dejando a gente con la palabra en la boca.... ¡Vuelve Patxi!#ElConquis4ETB",twitter.com/Nuksi_kun/status/1890121864439296253#m
@maiderconquis,twitter.com/maiderconquis,"Que este año la conquistóloga que más me esté gustando es Andrea, es para reflexionar. Me está pareciendo más coherente que nunca (y no es ironía). Cómo cambian las cosas... Sin@isa_landa86y@davidseco1, el debate no es lo mismo!#elconquis4etb",twitter.com/maiderconquis/status/1890061508077605183#m
@gluar610,twitter.com/gluar610,¿Se hizo ayer un pequeño spoiler con bitxos? O sólo me lo pareció a mí… -la pareja de Jime-#ElConquis4ETB,twitter.com/gluar610/status/1890016651107778822#m
@agalehe,twitter.com/agalehe,Por cierto y huido?porque no le llaman#ElConquis4ETB,twitter.com/agalehe/status/1889954838114607464#m
@agalehe,twitter.com/agalehe,"Pues voy a decir una cosa,ni veo a patxi en el caribe ,ni a jantxi en los debates,pero despues de tantos años con los mismos creo q anepe le pone toda la intención, y muy injustas las criticas,has empezado genial y seguro q lo mejorarás, suerte anepe!!!#ElConquis4ETB",twitter.com/agalehe/status/1889953245965250624#m
@charlisin46yout,twitter.com/charlisin46yout,"#ElConquis4ETBAnimo killoooo !!!!!
Yo tengo claustofobiaaaa y directamente no me dejaria atar pies y manos asi de claro y quien no la sufreno lo entiendeeee",twitter.com/charlisin46yout/status/1889914645563199675#m
@charlisin46yout,twitter.com/charlisin46yout,"#ElConquis4ETBNuevos capitanes ??????

Veremos ahora los favoritismossssss !!!!!

El capitan es mega importante y sino estas nivelados...",twitter.com/charlisin46yout/status/1889913938239955408#m
@charlisin46yout,twitter.com/charlisin46yout,"#ElConquis4ETBMarcela llama bobo a aratz y ahora subnormal a sebas !!!

Si ya le tenia asco por bocazas y retrasada ahora faltona y cobarde no insulta a la caraaaaaaa.",twitter.com/charlisin46yout/status/1889909023727874105#m
@charlisin46yout,twitter.com/charlisin46yout,"#ElConquis4ETBLa peor noche de su vida ???

Van a flipar el dia que se les muera una madre o una mascota !!!

Eso si que es lo mas duro de la vida y no lluvia o mosquitos.",twitter.com/charlisin46yout/status/1889907303027265596#m
@charlisin46yout,twitter.com/charlisin46yout,"#ElConquis4ETBDe que dejasen 2 horas de los 10 minutos supuestos no se habla ????????

Atacar a santa o aratz cuando van a tirar del equipo en todas las pruebas.....",twitter.com/charlisin46yout/status/1889904682237350003#m
@charlisin46yout,twitter.com/charlisin46yout,"#ElConquis4ETBOye que siiiii pati lo consigue pero le dejan 400 minutos mas sino pa casaaaaaa !!!!!!

Primer duelo no la elijen 
Primera prueba grupal no subio naipes asi que...Lasaiiiiii

Si el tiempo hubiera sido legal esta en casa patiiii",twitter.com/charlisin46yout/status/1889904275129770318#m
@romaes79_TS,twitter.com/romaes79_TS,"Sólo pido que@davidseco1no estuviese en los debates porque vaya a ser capitán. Que entiendo que no porque estará un poco harto de sufrimientos y que encima lo pongan a caldo? Sí, pero, David, te echamos de menos...#elconquis4etb",twitter.com/romaes79_TS/status/1889830274948792579#m
@LaMariOposita,twitter.com/LaMariOposita,"¿Puede Gotzon dejar de ser tan makinote? Algunxs ya vimos lo que hizo en#ElConquisETBpero de verdad que en#ElDesafiono deja de sorprenderme
💙🧊🧊🥶",twitter.com/LaMariOposita/status/1893074641192644815#m
@OdiosaSuegra,twitter.com/OdiosaSuegra,Estáis confundiendo#ElConquisETBcon gran hermano... No veo a Óscar en el Conquis... Demasiado glamour,twitter.com/OdiosaSuegra/status/1892580310765691084#m
@alberichspielt1,twitter.com/alberichspielt1,"gabon!

fantástico lo del surströmming

sugiero, de aquí a noviembre, un visionado de los programas aquellos de humor amarillo para documentarse con más maldades... 😁👍#elConquis5ETB#ElConquisETB#ElConquis#Conquis5ETB",twitter.com/alberichspielt1/status/1892372547171152320#m
@alberichspielt1,twitter.com/alberichspielt1,"😂😆 ¡¡¡¡VIVA SUECIA 🇸🇪!!!! 😆😂
Qué desgraciados!!!! Maravilloso...!!!! JAJAJAJAJAAJ
Esto sí que ha sido una sorpresa 😆😆😆

Hala, hala... Guten Appetit!!! 😂🥂🍴#ElConquis5ETB#conquisETB#ElConquisETB",twitter.com/alberichspielt1/status/1892368507498627440#m
@ivanoldc,twitter.com/ivanoldc,"#ElconquisETBque seleccionan el casting, concursantes MIERDA?",twitter.com/ivanoldc/status/1892342324228657494#m
@ErkorekaRRHH,twitter.com/ErkorekaRRHH,Muy majete Allen!#ElConquisETB,twitter.com/ErkorekaRRHH/status/1892340779718230111#m
@patri_cule,twitter.com/patri_cule,#elconquisETBesto se para mucho,twitter.com/patri_cule/status/1892338198363185514#m
@patri_cule,twitter.com/patri_cule,#elconquisETBen que momento paso Allen de estancia blanco a tener un Moreno como si hubiera estado horas al sol o eran las luces del aeropuerto,twitter.com/patri_cule/status/1892337917835501683#m
@KontxiZulu81651,twitter.com/KontxiZulu81651,#elconquisetb¿Pero q diablos pasa?????,twitter.com/KontxiZulu81651/status/1891628600081649770#m
@nuri_ruscar,twitter.com/nuri_ruscar,Vamos txapeldun !!!#Conquis5ETB#ElConquis5ETB#ElConquisETB,twitter.com/nuri_ruscar/status/1891623158953677168#m
@KontxiZulu81651,twitter.com/KontxiZulu81651,"#elconquisetbBRAVO CAPITÁNES!!!
JOANA GORKA..... Y👏👏👏👏👏👏👏👏👏👏",twitter.com/KontxiZulu81651/status/1891609674258030922#m
@Ibigomz,twitter.com/Ibigomz,Nooooooo. Joana de capitana noooo!#conquis5Etb#ElconquisEtb,twitter.com/Ibigomz/status/1891609659313692767#m
@ElHijoDelNano,twitter.com/ElHijoDelNano,que#ElConquisETB,twitter.com/ElHijoDelNano/status/1891609134660816986#m
@KontxiZulu81651,twitter.com/KontxiZulu81651,#elconquisetbBRAVO CAPITÁN!!!!!,twitter.com/KontxiZulu81651/status/1891609088187945245#m
@KontxiZulu81651,twitter.com/KontxiZulu81651,#elconquisetbBRABO CAPITANA!!!!!!!!,twitter.com/KontxiZulu81651/status/1891608946105844068#m
@AzucenaGutirre3,twitter.com/AzucenaGutirre3,"El reality más duro de la tv jajajajja, no habéis visto#ElConquisETB,eso sí es supervivencia no lo q se hace en  este concurso que cada año es más light, con todo amañado para q gane el q quieran ellos, lo siento pero conmigo este año no contéis",twitter.com/AzucenaGutirre3/status/1891417885219668333#m
@saaii04,twitter.com/saaii04,"Se podría decir más alto, pero no mas claro. Queremos a David Seco, Isa Landa, Isma y aunque en la noticia no salga su nombre, a Oizeder.#ElConquisETB'El Conquis' pierde a la mitad de su hinchada pese al regreso de Iantzi | El Correosearch.app/jCudwF1cPqFkwnLg9",twitter.com/saaii04/status/1890768400349008244#m
@mikelsuarez_,twitter.com/mikelsuarez_,"#ElConquisETBuno de los capitanes no puede ser anartz o por lo menos si se ha grabado a partir de octubre. anartz ha ido a todos lo partidos de su equipo y ha salido a jugar (aparecen faltas cometidas en las actas)

PD: esto no es acoso ajjajaja",twitter.com/mikelsuarez_/status/1890169342173819391#m
@alberichspielt1,twitter.com/alberichspielt1,"@Enekovhy#Andrea, sosos!
Desde luego... 😄#elconquis4etb#Elconquis#ElConquisETB",twitter.com/alberichspielt1/status/1889828809173770458#m
@alberichspielt1,twitter.com/alberichspielt1,"😂😆 ¡¡¡¡VIVA SUECIA 🇸🇪!!!! 😆😂
Qué desgraciados!!!! Maravilloso...!!!! JAJAJAJAJAAJ
Esto sí que ha sido una sorpresa 😆😆😆

Hala, hala... Guten Appetit!!! 😂🥂🍴#ElConquis5ETB#conquisETB#ElConquisETB",twitter.com/alberichspielt1/status/1892368507498627440#m
@mondadientes_,twitter.com/mondadientes_,"El problema es que con sus comentarios y actitudes posteriores se ve que se ha equivocado en ""decirlo"", pero no en pensarlo#ElConquis5ETB#ConquisETB",twitter.com/mondadientes_/status/1892355275794866470#m
@AnuskaLaBuena,twitter.com/AnuskaLaBuena,Hostia. Gorka conquis tve de capi?? No me lo esperaba ni de palo. Sera la unica vez que nos han hecho caso…#conquisETB,twitter.com/AnuskaLaBuena/status/1891918846795067652#m
@IkerSantxo,twitter.com/IkerSantxo,Mucha demagogia y muchas palabras de moralidad de Joana sobre que las mujeres y tal y le da la nominación a Marcela??🤣🤣🤣#conquisETB,twitter.com/IkerSantxo/status/1891631906380194253#m
@AitziberWest,twitter.com/AitziberWest,Me encanta que en individual vean todo pero ahora que son equipo no aceptan que si uno falla fallan todos#ConquisETB,twitter.com/AitziberWest/status/1891617982134063120#m
@josucrespoATH,twitter.com/josucrespoATH,Entre toreras y txakurras vaya edición#conquisETB,twitter.com/josucrespoATH/status/1891608854468686257#m
@Loinir,twitter.com/Loinir,"Ojo, que en la web de#ConquisETBya están escondidas las fotos de los capitanes... 👀",twitter.com/Loinir/status/1891479927242784981#m
@euskaltelebista,twitter.com/euskaltelebista,▶️VÍDEO#AVANCE| ¡Los nuevos capitanes esperan a las y los concursantes en el centro del laberinto hexagonal!#ConquisETB@elconquis_etbeitb.eus/es/television/progr…,twitter.com/euskaltelebista/status/1890326364982833412#m
@euskaltelebista,twitter.com/euskaltelebista,▶️VÍDEO#AVANCE| ¿Tendrán que elegir los capitanes a sus equipos en el juego de inmunidad? Las y los concursantes hacen cábalas con lo que leen en el correo...#ConquisETB@elconquis_etbeitb.eus/es/television/progr…,twitter.com/euskaltelebista/status/1890318814266683539#m
@RealityAdicted,twitter.com/RealityAdicted,"Bueno… participó en el conquis de RTVE, nada que ver con el#ConquisETB",twitter.com/RealityAdicted/status/1890011325990052291#m
@alberichspielt1,twitter.com/alberichspielt1,Subidón porque ya la tienen para lanzarla otra vez al inodoro en cuanto vuelvan a perder... Majetonesssss 😄#ElConquis4ETB#ElConquisETB#conquisETB,twitter.com/alberichspielt1/status/1889809004236505559#m
@beatrizmm7,twitter.com/beatrizmm7,Duelazo!!!#conquisETB,twitter.com/beatrizmm7/status/1889702458319863900#m
@tomyFIGH13R,twitter.com/tomyFIGH13R,"Estoy retomando el programa de anoche que me quedé frito 😂
Una cosa digna de mención. GRACIAS por omitir lo de que digan ""6 semanas sin comer"". No quedaba ni bien ni real. Podemos sobrevivir sabiendo que un día real es una semana de programa 😘#conquisETB#conquis4ETB",twitter.com/tomyFIGH13R/status/1889345567156797684#m
@maiderconquis,twitter.com/maiderconquis,"Sobre el capítulo de la semana pasada... No sé porqué un aprobado justo para Bea. No le tuvo miedo al duelo, no fue a por la rival que creía más débil y lo dió todo. Además que me pareció una tía maja y bastante humilde en su derrota#ConquisETB",twitter.com/maiderconquis/status/1889339686784520192#m
@Tormentatrek,twitter.com/Tormentatrek,"La de rojo no quería ganar, se ofreció a duelo
No escogió la pequeñita que  NO hubiese con los cuadros
Y encima se echaba para enfrente o para el lado 
Se dejó ganar#ConquisEtb#ElconquisEtb4",twitter.com/Tormentatrek/status/1889311812480332058#m
@alberichspielt1,twitter.com/alberichspielt1,"Bueno, pues ya tienen los amarillitos otra vez al comodín de Pati para volver a fusilarla al duelo la próxima vez que pierdan...

Aupa, Txapeldunaaaaaaaaa!!!! 😃💃😍#conquis4ETB#elconquis4etb#ConquisETB#ElConquisETB",twitter.com/alberichspielt1/status/1889105363833647537#m
@anezarandona,twitter.com/anezarandona,"Joooooder neska! 
No daba un duro por ti! 
Zorionak!#ConquisETB",twitter.com/anezarandona/status/1889104760977895613#m
@anezarandona,twitter.com/anezarandona,"No llega, no?#ConquisETB",twitter.com/anezarandona/status/1889104331024003491#m
@anezarandona,twitter.com/anezarandona,"Pipi tiene mejor ayudante. 
Mas fuerte, más alto...#ConquisETB",twitter.com/anezarandona/status/1889103574728118774#m
@anezarandona,twitter.com/anezarandona,En 10 minutos no lo hacen ni de coña!#ConquisETB,twitter.com/anezarandona/status/1889103302823911448#m
